playerid,name,twit_url,twit_handle,insta_url,insta_handle,twit_id,twit_followers_count,twit_tweet_count,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,Guaranteed
1630171,Isaac Okoro,https://twitter.com/isaacokoro303,isaacokoro303,https://instagram.com/isaacokoro,isaacokoro,2368216597,33586,1704,6720720.0,7040880.0,8920795.0,0.0,0.0,0.0,13761600.0
203903,Jordan Clarkson,https://twitter.com/JordanClarksons,JordanClarksons,https://instagram.com/jordanclarksons,jordanclarksons,72362869,456598,10010,12420000.0,13340000.0,14260000.0,0.0,0.0,0.0,25760000.0
1629672,Eric Paschall,https://twitter.com/epaschall,epaschall,https://instagram.com/epaschall,epaschall,207723015,51769,2678,1782621.0,0.0,0.0,0.0,0.0,0.0,1782621.0
204060,Joe Ingles,https://twitter.com/Joeingles7,Joeingles7,https://instagram.com/joeingles7,joeingles7,38026892,214318,17368,14000000.0,0.0,0.0,0.0,0.0,0.0,14000000.0
1630235,Trent Forrest,https://twitter.com/TForrest_11,TForrest_11,https://instagram.com/trentforrest,trentforrest,479066463,7414,11186,53176.0,,,,,,
1627863,Danuel House Jr.,https://twitter.com/DanuelHouseJr,DanuelHouseJr,https://instagram.com/dk2house,dk2house,381750947,17089,6537,7494775.0,0.0,0.0,0.0,0.0,0.0,2502068.0
200752,Rudy Gay,https://twitter.com/RudyGay,RudyGay,https://instagram.com/rudygay,rudygay,37367041,1221248,5526,5890000.0,6184500.0,6479000.0,0.0,0.0,0.0,12074500.0
201144,Mike Conley,https://twitter.com/mconley11,mconley11,https://instagram.com/mac10,mac10,59297233,535854,4454,21000000.0,22680000.0,24360000.0,0.0,0.0,0.0,58000000.0
1630215,Jared Butler,https://twitter.com/J_Hooper11,J_Hooper11,https://instagram.com/_xjaredx_,_xjaredx_,1611022940,13346,3290,925258.0,1563518.0,0.0,0.0,0.0,0.0,2488776.0
1628962,Udoka Azubuike,https://twitter.com/udoka35,udoka35,https://instagram.com/udoka_azubuike,udoka_azubuike,2866061922,8289,167,2075880.0,2174880.0,3923484.0,0.0,0.0,0.0,4250760.0
202355,Hassan Whiteside,https://twitter.com/youngwhiteside,youngwhiteside,https://instagram.com/hassanwhiteside,hassanwhiteside,149308566,178881,4024,2401537.0,0.0,0.0,0.0,0.0,0.0,2401537.0
1626220,Royce O'Neale,https://twitter.com/BucketsONeale00,BucketsONeale00,https://instagram.com/rolls_royce00,rolls_royce00,289760136,48090,25485,8678571.0,9321429.0,9964286.0,0.0,0.0,0.0,27964286.0
203497,Rudy Gobert,https://twitter.com/rudygobert27,rudygobert27,https://instagram.com/rudygobert27,rudygobert27,609548724,574767,5404,35344828.0,38172414.0,41000000.0,43827587.0,46655173.0,0.0,158344829.0
1630190,Elijah Hughes,https://twitter.com/elijahhughes4_,elijahhughes4_,https://instagram.com/_elijahhughes,_elijahhughes,2214794818,10292,11147,1517981.0,0.0,0.0,0.0,0.0,0.0,1517981.0
202711,Bojan Bogdanovic,https://twitter.com/44Bojan,44Bojan,https://instagram.com/44bojan,44bojan,1242198056,25005,121,18700000.0,19550000.0,0.0,0.0,0.0,0.0,38250000.0
1628378,Donovan Mitchell,https://twitter.com/spidadmitchell,spidadmitchell,https://instagram.com/spidadmitchell,spidadmitchell,488026266,1143926,4708,28103550.0,30351834.0,32600118.0,34848402.0,37096686.0,0.0,125903904.0
1628425,Sterling Brown,https://twitter.com/thatnegus_sb,thatnegus_sb,https://instagram.com/sb23_thegeneral,sb23_thegeneral,334148848,7240,4806,3000000.0,3000000.0,0.0,0.0,0.0,0.0,6000000.0
203504,Trey Burke,https://twitter.com/TreyBurke,TreyBurke,https://instagram.com/treyburke,treyburke,334150573,161022,2470,3333333.0,3492063.0,0.0,0.0,0.0,0.0,3333333.0
204001,Kristaps Porzingis,https://twitter.com/kporzee,kporzee,https://instagram.com/kporzee,kporzee,222932212,374353,1618,31650600.0,33833400.0,36016200.0,0.0,0.0,0.0,65484000.0
