playerid,inst_id,inst_followers,inst_follows,inst_posts,inst_likes_12,inst_comments_12,inst_likes_per_week,inst_comments_per_week
1630209,487478685,67246,548,66,125880,1728,20980.0,288.0
1630792,190381346,14788,1264,107,23893,705,1506.7657657657658,44.45945945945946
1629632,2251707933,450977,3073,147,77000,607,16333.333333333332,128.75757575757575
1628366,243382891,12693058,688,291,4991501,16207,309208.0265486726,1003.9734513274336
1627884,2192905609,434336,780,88,103694,666,6912.933333333333,44.4
1627936,23506229,1685824,652,151,1238563,5729,91262.53684210527,422.13684210526316
1628972,192680246,68511,273,53,47376,659,3384.0,47.07142857142857
203897,191871035,2557475,210,451,1555469,5210,136103.5375,455.875
202696,0,0,0,0,0,0,0.0,0.0
201942,11032693,2856930,234,25,1228361,9978,98833.64367816092,802.8275862068965
1630245,290444892,228019,693,27,429744,1043,41780.666666666664,101.40277777777777
1628396,202385337,101533,555,29,0,0,0.0,0.0
1630250,1644543505,11294,504,55,6842,140,570.1666666666666,11.666666666666666
1629744,489685744,65292,615,279,44227,448,2948.4666666666667,29.866666666666667
1629750,14477830,86911,1494,8,62772,1038,3854.421052631579,63.736842105263165
1629076,1030614146,36812,132,66,24442,493,2061.3734939759033,41.57831325301205
1628035,15389336,110846,638,152,61358,1653,5302.543209876543,142.85185185185185
1630172,4556419452,117265,584,9,8690,14,1294.2553191489362,2.0851063829787235
1627780,7151304,281946,759,30,507471,3499,43855.51851851852,302.38271604938274
1630228,3735255864,341293,161,11,452644,3615,26851.762711864405,214.44915254237287
1627814,14605986,270957,1416,175,296467,2420,17587.025423728814,143.5593220338983
1629185,191202011,62905,1522,55,59001,897,3529.974358974359,53.666666666666664
1629673,186620895,443279,361,18,833736,4218,81057.66666666666,410.0833333333333
1630541,2109873229,146212,800,33,166807,1314,9895.330508474575,77.94915254237289
1626172,225907503,262057,712,278,140061,1300,12104.037037037036,112.34567901234568
202357,2159382589,118461,385,169,122216,1236,7250.101694915254,73.32203389830508
2738,6246343,1784841,397,33,344897,41038,38939.98387096774,4633.322580645161
202691,1363035707,11321499,969,232,4542046,98556,302803.06666666665,6570.4
1629683,39043528,33365,1995,46,0,0,0.0,0.0
203952,46337289,1923881,422,332,215608,2534,20123.413333333334,236.5066666666667
203110,13745183,3522210,879,668,378474,4807,63079.0,801.1666666666666
201939,324599988,39974208,949,1014,8953074,33255,1160583.6666666667,4310.833333333333
203490,0,0,0,0,0,0,0.0,0.0
1630164,313577066,570133,602,33,257295,2061,17153.0,137.4
1629308,4137448,292060,2024,66,272820,3505,16606.434782608696,213.34782608695653
1630178,7700090700,319496,424,85,408363,5428,24431.974358974356,324.7521367521367
203083,24949656,1339676,774,734,150333,2373,38975.22222222222,615.2222222222222
1629619,191778340,205356,679,98,164368,2746,20546.0,343.25
1630198,1907728864,38792,978,49,16071,211,1061.2924528301887,13.933962264150944
1630531,971819297,174512,392,35,18983,160,2657.62,22.4
202699,8715481,524248,1378,1208,183236,2116,10962.837606837606,126.59829059829059
201980,259244842,1292860,1336,796,105480,1159,8895.903614457831,97.74698795180723
1629718,7386714653,12831,226,14,13938,512,1016.3125,37.333333333333336
1629003,24492842,65770,394,18,13177,179,846.2293577981651,11.495412844036698
1627777,37449412,84029,2258,973,46320,1051,6117.735849056604,138.81132075471697
203954,1015036453,5327447,201,431,1504405,18192,102241.11650485438,1236.3495145631068
1629680,47261132,410814,184,38,207173,1212,13553.3738317757,79.28971962616822
1629646,2142858383,43677,630,24,17986,416,1155.0642201834862,26.71559633027523
1627732,539605353,6056521,207,555,0,0,0.0,0.0
1627788,1433684649,489111,320,211,174293,1905,10427.786324786324,113.97435897435896
203552,5839826,2153888,530,497,918203,6438,60069.35514018691,421.1775700934579
1630194,187186398,41008,594,63,19097,511,1273.1333333333334,34.06666666666667
1629001,1636215022,42096,469,112,11325,309,677.5641025641025,18.487179487179485
203937,10677431,141447,1799,2218,19801,306,1307.6132075471698,20.20754716981132
1630214,330849882,54009,1634,169,12401,121,894.9175257731958,8.731958762886597
1630179,1259136913,33202,461,5,3455,100,514.5744680851063,14.893617021276595
203500,4110707274,489979,239,86,0,0,0.0,0.0
1630582,289689133,35384,933,86,19746,134,1518.923076923077,10.307692307692308
1630583,216294437,12291,320,20,3871,93,371.1917808219178,8.917808219178083
1630533,350878156,142697,688,55,57007,487,3595.036036036036,30.71171171171171
1629630,1485011963,5026978,502,204,3876716,1241,1043731.2307692308,334.1153846153846
1628991,38757807,287086,635,35,194253,1759,14942.538461538461,135.30769230769232
1629634,189622816,77549,810,68,9524,155,560.2352941176471,9.117647058823529
1626145,38554475,383255,565,73,62011,450,3742.0431034482754,27.1551724137931
1630217,222284905,62614,1091,40,62131,1596,3749.2844827586205,96.31034482758619
1629633,145952611,105160,463,74,31235,94,2767.658227848101,8.329113924050633
1628415,284432571,124092,684,0,0,0,0.0,0.0
1629681,249225210,23109,606,273,17644,220,1046.677966101695,13.050847457627118
1629723,1916200132,11360,667,12,3957,88,413.4179104477612,9.194029850746269
