playerid,twit_id,twit_data
1626153,3225971468,<generator object Paginator.flatten at 0x7ff3b6acacf0>
1630552,2944276021,<generator object Paginator.flatten at 0x7ff3b6acad60>
1630536,3323463010,<generator object Paginator.flatten at 0x7ff3b6acadd0>
1628989,551374030,<generator object Paginator.flatten at 0x7ff3b6acae40>
1630219,1129909087968387073,<generator object Paginator.flatten at 0x7ff3b6acaeb0>
101150,62203990,<generator object Paginator.flatten at 0x7ff3b6acaf20>
1627789,3226630966,<generator object Paginator.flatten at 0x7ff3b6acaf90>
201568,70926844,<generator object Paginator.flatten at 0x7ff3b6ad4040>
203476,1358510274,<generator object Paginator.flatten at 0x7ff3b6ad40b0>
1629027,2842841126,<generator object Paginator.flatten at 0x7ff3b6666c10>
1629631,1119732410223079424,<generator object Paginator.flatten at 0x7ff3b66669e0>
203992,2385272859,<generator object Paginator.flatten at 0x7ff3b6ad4120>
203991,1596720342,<generator object Paginator.flatten at 0x7ff3b6ad4190>
1630168,1496970942,<generator object Paginator.flatten at 0x7ff3b6ad4200>
1628381,466241497,<generator object Paginator.flatten at 0x7ff3b6ad4270>
1628995,3184977160,<generator object Paginator.flatten at 0x7ff3b6ad42e0>
1629022,1470978146,<generator object Paginator.flatten at 0x7ff3b6ad4350>
1629640,838674860,<generator object Paginator.flatten at 0x7ff3b6ad43c0>
1628401,100874855,<generator object Paginator.flatten at 0x7ff3b6ad4430>
1627749,1005789476,<generator object Paginator.flatten at 0x7ff3b6ad44a0>
1630563,879537192573562881,<generator object Paginator.flatten at 0x7ff3b6ad4510>
1629234,70579753,<generator object Paginator.flatten at 0x7ff3b6ad4580>
1630580,464968781,<generator object Paginator.flatten at 0x7ff3b6ad45f0>
203926,85617701,<generator object Paginator.flatten at 0x7ff3b6ad4660>
1629719,706224606,<generator object Paginator.flatten at 0x7ff3b6ad46d0>
1628380,358938695,<generator object Paginator.flatten at 0x7ff3b6ad4740>
1630170,2342361019,<generator object Paginator.flatten at 0x7ff3b6ad47b0>
1627751,3098308942,<generator object Paginator.flatten at 0x7ff3b6ad4820>
201152,54780126,<generator object Paginator.flatten at 0x7ff3b6ad4890>
1628966,561653498,<generator object Paginator.flatten at 0x7ff3b6ad4900>
1630200,1015336832786190339,<generator object Paginator.flatten at 0x7ff3b6ad4970>
1629111,1097240688662638594,<generator object Paginator.flatten at 0x7ff3b6ad49e0>
1627823,1628495018,<generator object Paginator.flatten at 0x7ff3b6ad4a50>
203484,1096007496,<generator object Paginator.flatten at 0x7ff3b6ad4ac0>
203078,153307097,<generator object Paginator.flatten at 0x7ff3b6ad4b30>
1628988,0,
1630216,2971038080,<generator object Paginator.flatten at 0x7ff3b6ad4ba0>
1626149,133726414,<generator object Paginator.flatten at 0x7ff3b6ad4c10>
1629060,4802352444,<generator object Paginator.flatten at 0x7ff3b6ad4c80>
1630166,0,
1628418,777296457980260353,<generator object Paginator.flatten at 0x7ff3b6ad4cf0>
1630225,701187065711616000,<generator object Paginator.flatten at 0x7ff3b6ad4d60>
1630264,0,
1630555,3379657487,<generator object Paginator.flatten at 0x7ff3b6ad4dd0>
203526,138273884,<generator object Paginator.flatten at 0x7ff3b6ad4e40>
1629655,2979138789,<generator object Paginator.flatten at 0x7ff3b6ad4eb0>
1630557,4700775859,<generator object Paginator.flatten at 0x7ff3b6ad4f20>
203915,368148234,<generator object Paginator.flatten at 0x7ff3b6ad4f90>
1628398,272616327,<generator object Paginator.flatten at 0x7ff3b6ade040>
202722,0,
1630167,2221922403,<generator object Paginator.flatten at 0x7ff3b6ade0b0>
1630540,2941668388,<generator object Paginator.flatten at 0x7ff3b6ade120>
203457,233414838,<generator object Paginator.flatten at 0x7ff3b6ade190>
201565,612792060,<generator object Paginator.flatten at 0x7ff3b6ade200>
1630193,3353240464,<generator object Paginator.flatten at 0x7ff3b6ade270>
1629656,2287541508,<generator object Paginator.flatten at 0x7ff3b6ade2e0>
202689,270689028,<generator object Paginator.flatten at 0x7ff3b6ade350>
1629628,545663382,<generator object Paginator.flatten at 0x7ff3b6ade3c0>
203095,562362256,<generator object Paginator.flatten at 0x7ff3b6ade430>
202692,135323628,<generator object Paginator.flatten at 0x7ff3b6ade4a0>
1629629,467967001,<generator object Paginator.flatten at 0x7ff3b6ade510>
1629011,4759046009,<generator object Paginator.flatten at 0x7ff3b6ade580>
203944,180990505,<generator object Paginator.flatten at 0x7ff3b6ade5f0>
1630579,0,
201959,73058561,<generator object Paginator.flatten at 0x7ff3b6ade660>
1629677,831524135847211008,<generator object Paginator.flatten at 0x7ff3b6ade6d0>
1629712,773171668814618624,<generator object Paginator.flatten at 0x7ff3b6ade740>
1629627,3383587455,<generator object Paginator.flatten at 0x7ff3b6ade7b0>
1628404,318095329,<generator object Paginator.flatten at 0x7ff3b6ade820>
1628984,991756067938840577,<generator object Paginator.flatten at 0x7ff3b6ade890>
1630529,349466612,<generator object Paginator.flatten at 0x7ff3b6ade900>
1629638,3016871537,<generator object Paginator.flatten at 0x7ff3b6ade970>
1630230,1320853270382796800,<generator object Paginator.flatten at 0x7ff3b6ade9e0>
1626195,325164911,<generator object Paginator.flatten at 0x7ff3b6adea50>
1629637,3080699645,<generator object Paginator.flatten at 0x7ff3b6adeac0>
1629109,329842989,<generator object Paginator.flatten at 0x7ff3b6adeb30>
1630184,0,
1627742,164557288,<generator object Paginator.flatten at 0x7ff3b6adeba0>
1630631,2362079219,<generator object Paginator.flatten at 0x7ff3b6adec10>
202685,2227318080,<generator object Paginator.flatten at 0x7ff3b6adec80>
1630530,2925188224,<generator object Paginator.flatten at 0x7ff3b6adecf0>
203107,756825420,<generator object Paginator.flatten at 0x7ff3b6aded60>
1629117,364032864,<generator object Paginator.flatten at 0x7ff3b6adedd0>
202066,41861751,<generator object Paginator.flatten at 0x7ff3b6adee40>
203933,289141917,<generator object Paginator.flatten at 0x7ff3b6adeeb0>
1630537,1159248879914835970,<generator object Paginator.flatten at 0x7ff3b6adef20>
